,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
0,05.01.2022,NaN,2710-31-1,דירה בבית קומות,1,ראשונה,NaN,"902,000",NaN
1,21.11.2021,ירושלים 22,3937-15-3,קוטג' דו משפחתי,1,ראשונה,NaN,"1,772,000",NaN
2,25.08.2021,NaN,3629-323-80,NaN,1,NaN,55,"275,822",NaN
3,18.07.2021,NaN,5032-73-4,NaN,1,חמישית,63,"902,672",NaN
4,04.07.2021,NaN,5032-73-1,עסק,1,NaN,65,"772,668",NaN
5,04.07.2021,NaN,5032-73-3,עסק,1,NaN,96,"1,662,280",NaN
6,04.07.2021,NaN,5032-73-2,עסק,1,NaN,103,"1,526,724",NaN
7,01.07.2021,NaN,3942-103-6,עסק,1,NaN,65,"4,971,751",NaN
8,29.06.2021,NaN,3946-344-83,עסק,1,NaN,122,"3,033,883",NaN
9,31.05.2021,NaN,3946-344-77,NaN,1,רביעית,40,"611,394",NaN
10,18.05.2021,NaN,3946-344-76,עסק,1,NaN,152,"3,249,908",NaN
11,13.05.2021,"אח""י מבטח 47",2709-4-2,קוטג' דו משפחתי,1,ראשונה,366,"14,285,000",NaN
12,10.05.2021,חיל התותחנים 26,2717-23-32,דירה בבית קומות,1,שביעית,121.40,"3,380,000",157% ב 16.7 שנים
13,11.08.2004,חיל התותחנים 26,2717-23-32,דירה בבית קומות,1,שביעית,121.40,"1,311,000",157% ב 16.7 שנים
14,21.04.2021,ברנשטיין 68,6287-21-2,קוטג' דו משפחתי,1,ראשונה,406,"5,300,000",NaN
15,01.04.2021,NaN,3947-95-37,עסק,1,NaN,118,"1,985,920",NaN
16,23.02.2021,ויצמן 4,3928-905-17,אחר,1,NaN,42,"172,836",NaN
17,22.02.2021,הגדוד העברי 6,3931-9-1,קומבינציה,1,ראשונה,NaN,"7,060,000",NaN
18,07.12.2020,NaN,3946-344-63,עסק,1,NaN,562,"12,870,000",NaN
19,02.12.2020, ,3947-95-53,חנות,1,ראשונה,119,"1,898,000",NaN
20,26.11.2020,NaN,4246-285-130,אחר,1,NaN,57,"268,599",NaN
21,10.11.2020,NaN,3628-70-1,קוטג' חד משפחתי,1,ראשונה,666,"12,000,000",NaN
22,04.11.2020,נחמה 21,3932-94-1,דירה בבית קומות,1,קרקע,27,"350,000",NaN
23,01.07.2020,"אח""י מזנק 28",2709-40-1,קוטג' דו משפחתי,1,NaN,337,"5,200,000",NaN
24,09.06.2020,"איתמר בן אב""י 15",3932-186-1,קוטג' דו משפחתי,1,שניה,199,"3,526,000",NaN
25,21.05.2020,NaN,3942-103-65,משרד,1,שניה,65,"724,643",NaN
26,12.05.2020,NaN,3942-103-66,משרד,1,שניה,178,"1,789,377",NaN
27,02.02.2020,NaN,5030-166-2,משרד,1,NaN,46,"638,305",NaN
28,02.02.2020,NaN,5030-166-3,משרד,1,NaN,51,"704,911",NaN
29,21.01.2020,NaN,5032-38-2,משרד,1,NaN,46,"738,768",NaN
30,21.01.2020,NaN,5032-38-1,משרד,1,NaN,67,"600,631",NaN
31,16.01.2020, ,3947-95-56,משרד,1,שביעית,98,"1,407,420",NaN
32,15.01.2020,NaN,3947-95-19,משרד,1,NaN,129,"1,789,479",NaN
33,15.01.2020,NaN,3947-95-18,משרד,1,NaN,98,"1,407,420",NaN
34,11.12.2019,עזרא 5,4242-414-1,קוטג' דו משפחתי,1,NaN,298,"2,100,000",NaN
35,10.12.2019,NaN,3947-95-17,משרד,1,שביעית,141,"1,936,970",NaN
36,10.12.2019, ,3947-95-58,משרד,1,שביעית,114,"1,597,981",NaN
37,27.11.2019,NaN,3925-738-99,דירה בבית קומות,1,NaN,NaN,"4,032,000",NaN
38,19.11.2019,פוזננסקי מנחם 2,7282-91-3,דירה בבית קומות,1,ראשונה,40.60,"1,895,000",NaN
39,19.11.2019,פוזננסקי מנחם 2,7282-91-3,דירה בבית קומות,1,ראשונה,40.60,"1,150,000",NaN
40,13.08.2009,פוזננסקי מנחם 2,7282-91-3,דירה בבית קומות,1,ראשונה,40.60,"760,000",NaN
41,31.12.1998,פוזננסקי מנחם 2,7282-91-3,דירה בבית קומות,1,ראשונה,40.60,"445,000",NaN
42,19.11.2019,פוזננסקי מנחם 2,7282-91-8,דירה בבית קומות,1,שניה,35,"1,934,000",NaN
43,17.11.2019,NaN,5030-166-1,משרד,1,NaN,51,"639,531",NaN
44,13.11.2019,פרס שמעון 33,5097-95-3,אחר,1,NaN,97,"400,000",NaN
45,30.10.2019,"אח""י מזנק 80",2709-52-2,דירה בבית קומות,1,NaN,324,"17,212,000",NaN
46,15.09.2019,NaN,3946-344-35,עסק,1,NaN,3999,"92,430,000",NaN
47,13.08.2019,NaN,5032-29-45,משרד,1,NaN,87,"541,429",NaN
48,12.08.2019,NaN,5032-29-43,משרד,1,NaN,52,"964,618",NaN
49,12.08.2019,NaN,5032-29-44,דירה,1,NaN,88,"1,153,302",NaN
50,27.07.2019,NaN,5032-29-41,משרד,1,NaN,87,"1,020,476",NaN
51,27.07.2019,NaN,5032-29-42,משרד,1,NaN,86,"1,157,486",NaN
52,14.07.2019,הברון הירש 18,3928-501-1,דירה בבית קומות,1,קרקע,21.50,"790,000",29% ב 2.8 שנים
53,20.09.2016,הברון הירש 18,3928-501-1,דירה בבית קומות,1,קרקע,21.50,"610,000",29% ב 2.8 שנים
54,16.06.2019,NaN,3947-95-14,משרד,1,NaN,131,"1,894,822",NaN
55,18.05.2019,NaN,5032-29-40,משרד,1,NaN,88,"773,426",NaN
56,12.05.2019,NaN,3946-344-27,אחר,1,NaN,102,"2,402,010",NaN
57,12.05.2019,NaN,3946-344-28,אחר,1,NaN,153,"3,600,792",NaN
58,12.05.2019,NaN,3946-344-26,אחר,1,NaN,102,"2,399,436",NaN
59,01.05.2019,NaN,3946-344-24,אחר,1,NaN,101,"2,281,500",NaN
60,30.04.2019,NaN,3947-60-58,משרד,1,שלישית,76,"1,342,768",NaN
61,29.04.2019,NaN,3932-55-12,עסק,1,NaN,44,"1,347,554",NaN
62,26.03.2019,NaN,5032-29-39,משרד,1,NaN,166,"598,287",NaN
63,19.03.2019,ויצמן 4,3928-905-3,עסק,1,NaN,95,"2,100,000",NaN
64,13.03.2019,NaN,5032-29-38,משרד,1,NaN,46,"951,279",NaN
65,05.03.2019,NaN,5032-29-37,משרד,1,NaN,91,"1,144,938",NaN
66,05.03.2019,NaN,5032-29-33,משרד,1,NaN,46,"726,805",NaN
67,05.03.2019,NaN,5032-29-36,משרד,1,NaN,87,"971,472",NaN
68,05.03.2019,NaN,5032-29-32,משרד,1,NaN,51,"708,168",NaN
69,05.03.2019,NaN,5032-29-30,משרד,1,NaN,72,"455,168",NaN
70,05.03.2019,NaN,5032-29-31,משרד,1,NaN,46,"683,797",NaN
71,05.03.2019,NaN,5032-29-34,משרד,1,NaN,51,"815,360",NaN
72,05.03.2019,NaN,5032-29-35,משרד,1,NaN,88,"892,237",NaN
73,21.02.2019,NaN,3946-344-22,משרד,1,חמישית,40,"607,935",NaN
74,18.02.2019,NaN,5032-29-29,משרד,1,NaN,109,"685,456",NaN
75,10.02.2019,יהודה לייב 10,3932-135-5,דירה בבית קומות,1,קרקע,22.30,"590,000",115% ב 11 שנים
76,17.02.2008,יהודה לייב 10,3932-135-5,דירה בבית קומות,1,קרקע,22.30,"274,000",115% ב 11 שנים
77,06.02.2019,NaN,3946-344-21,אחר,1,NaN,81,"2,008,890",NaN
78,10.01.2019,NaN,5032-29-27,משרד,1,NaN,88,"1,114,757",NaN
79,10.01.2019,NaN,5032-29-28,משרד,1,NaN,91,"1,389,474",NaN
80,03.01.2019,NaN,3946-344-16,דירה,1,NaN,81,"2,008,890",NaN
81,02.01.2019,פינס 9,3928-470-1,דירה בבית קומות,1,מרתף,NaN,"500,000",-16% ב 2.3 שנים
82,01.09.2016,פינס 9,3928-470-1,דירה בבית קומות,1,מרתף,NaN,"600,000",-16% ב 2.3 שנים
83,10.11.2010,פינס 9,3928-470-1,דירה בבית קומות,1,מרתף,NaN,"80,000",-16% ב 2.3 שנים
84,23.12.2018,NaN,5032-29-23,משרד,1,NaN,51,"1,016,367",NaN
85,23.12.2018,NaN,5032-29-26,משרד,1,NaN,106,"1,585,336",NaN
86,23.12.2018,NaN,5032-29-21,משרד,1,NaN,70,"487,609",NaN
87,23.12.2018,NaN,5032-29-22,משרד,1,NaN,67,"960,378",NaN
88,23.12.2018,NaN,5032-29-24,משרד,1,NaN,109,"1,018,487",NaN
89,23.12.2018,NaN,5032-29-25,משרד,1,NaN,103,"1,036,508",NaN
90,11.12.2018,NaN,3942-103-76,משרד,1,NaN,170,"4,723,290",NaN
91,05.12.2018,NaN,5032-29-20,משרד,1,NaN,72,"1,358,875",NaN
92,04.12.2018,NaN,5032-29-17,משרד,1,NaN,89,"891,952",NaN
93,04.12.2018,NaN,5032-29-18,משרד,1,NaN,100,"1,189,104",NaN
94,04.12.2018,NaN,5032-29-16,משרד,1,NaN,109,"795,506",NaN
95,04.12.2018,NaN,5032-29-19,דירה,1,NaN,91,"1,548,949",NaN
96,04.12.2018,NaN,5032-29-15,משרד,1,NaN,135,"633,260",NaN
97,03.12.2018,NaN,5032-29-14,משרד,1,NaN,53,"816,538",NaN
98,02.12.2018,NaN,5032-29-4,משרד,1,NaN,68,"567,160",NaN
99,02.12.2018,NaN,5032-29-10,משרד,1,NaN,89,"874,926",NaN
100,02.12.2018,NaN,5032-29-5,משרד,1,NaN,65,"695,354",NaN
101,02.12.2018,NaN,5032-29-9,משרד,1,NaN,138,"784,490",NaN
102,02.12.2018,NaN,5032-29-11,משרד,1,NaN,72,"1,092,256",NaN
103,02.12.2018,NaN,5032-29-6,משרד,1,NaN,60,"751,440",NaN
104,02.12.2018,NaN,5032-29-7,משרד,1,NaN,47,"775,476",NaN
105,02.12.2018,NaN,5032-29-8,משרד,1,NaN,167,"780,484",NaN
106,02.12.2018,NaN,5032-29-12,משרד,1,NaN,69,"1,483,551",NaN
107,02.12.2018,NaN,5032-29-13,משרד,1,NaN,70,"1,874,443",NaN
108,28.11.2018,ירושלים 5,3932-206-1,דירה בבית קומות,1,מרתף,21.80,"500,000",NaN
109,27.11.2018,NaN,3942-103-1,אחר,1,NaN,187,"15,372,338",NaN
110,27.11.2018,NaN,5032-29-3,משרד,1,NaN,68,"949,778",NaN
111,20.11.2018,NaN,5032-29-2,משרד,1,NaN,68,"1,178,686",NaN
112,20.11.2018,NaN,5032-29-1,משרד,1,NaN,68,"1,134,709",NaN
113,29.10.2018,NaN,3947-60-56,משרד,1,NaN,99,"1,068,895",NaN
114,29.10.2018,NaN,3947-60-57,משרד,1,NaN,98,"1,250,587",NaN
115,05.09.2018,NaN,3628-10-2,קוטג' חד משפחתי,1,NaN,1868,"11,600,000",NaN
116,30.08.2018,NaN,3946-344-5,אחר,1,NaN,99,"2,370,888",NaN
117,23.08.2018,NaN,3947-60-65,משרד,1,שישית,84,"1,164,894",NaN
118,14.08.2018,NaN,7374-12-1,קוטג' דו משפחתי,1,NaN,172,"7,600,000",NaN
119,06.08.2018,NaN,3947-95-13,דירה,1,NaN,141,"1,863,677",NaN
120,06.08.2018,NaN,3947-95-12,דירה,1,NaN,114,"1,545,410",NaN
121,18.06.2018,מבצע ברק 10,5747-10-2,קוטג' דו משפחתי,1,NaN,500,"4,189,000",NaN
122,13.06.2018,NaN,3947-95-11,משרד,1,NaN,64,"1,092,501",NaN
123,29.05.2018,NaN,3946-344-3,אחר,1,NaN,2997,"27,624,440",NaN
124,27.05.2018,שניאור זלמן 36,7281-41-1,דירה בבית קומות,1,ראשונה,26.70,"330,000",NaN
125,22.05.2018,NaN,3947-60-54,משרד,1,שישית,79,"1,099,522",NaN
126,28.03.2018,שרוני ברוך 20,6288-233-1,קוטג' חד משפחתי,1,NaN,400,"8,688,000",NaN
127,27.03.2018,NaN,3947-60-69,משרד,1,שביעית,79,"1,098,025",NaN
128,22.03.2018,גבין משה 5,3629-226-2,קוטג' דו משפחתי,1,NaN,100,"7,100,000",NaN
129,18.07.2017,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"2,350,000",NaN
130,02.03.2005,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,217,000",NaN
131,25.01.2005,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"958,000",NaN
132,16.01.2005,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,111,000",NaN
133,07.11.2004,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,055,000",NaN
134,26.10.2004,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,322,000",NaN
135,25.10.2004,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,061,000",NaN
136,28.06.2017,NaN,3947-60-91,עסק,1,שניה,131,"1,083,211",NaN
137,27.06.2017,NaN,3947-60-36,עסק,1,שלישית,114,"1,600,649",NaN
138,14.06.2017,מבצע הראל 56,5384-6-2,קוטג' דו משפחתי,1,"מרתף, קרקע, ראשונה, שניה",220,"3,500,000",123% ב 16.7 שנים
139,27.09.2000,מבצע הראל 56,5384-6-2,קוטג' דו משפחתי,1,"מרתף, קרקע, ראשונה, שניה",220,"1,567,000",123% ב 16.7 שנים
140,14.06.2017,NaN,3947-60-33,עסק,1,שניה,202,"1,014,996",NaN
141,21.11.2016,NaN,3628-294-2,קוטג' דו משפחתי,1,"מרתף, קרקע, ראשונה",249.54,"5,200,000",NaN
142,09.10.2016,חיל התותחנים 26,2717-23-27,דירה בבית קומות,1,שישית,121.40,"2,690,000",NaN
143,22.09.2016,פינס 2,3928-116-10,דירה בבית קומות,1,שלישית,NaN,"619,000",NaN
144,18.09.2016,פינס 2,3928-116-10,דירה בבית קומות,1,שלישית,NaN,"360,000",NaN
145,06.09.2016,השומר 46,3938-243-1,קוטג' דו משפחתי,1,NaN,80,"3,299,000",NaN
146,09.08.2016, ,3928-433-13,קוטג' דו משפחתי,1,NaN,221,"3,320,000",NaN
147,16.06.2016,הגלבוע 1,3923-354-4,קוטג' טורי,1,"קרקע, ראשונה",157.73,"2,700,000",NaN
148,23.05.2016,רוטשילד 121,3923-166-10,דירה בבית קומות,1,שניה,62.35,"1,280,000",NaN
149,12.04.2016,האשכולית 9,3628-54-1,בית בודד,1,NaN,70,"900,000",NaN
150,10.03.2016,לאונר נעם 10,7374-34-1,קוטג' דו משפחתי,1,NaN,360,"5,400,000",NaN
151,24.02.2016,הנחשול 46,5384-47-31,דירת גג,1,תשיעית,196.60,"3,850,000",NaN
152,04.02.2016,וולפסון 15,3926-632-2,דירה בבית קומות,1,ראשונה,NaN,"630,000",NaN
153,02.02.2016,הפזית 21,6824-184-1,קוטג' דו משפחתי,1,שניה,250,"6,000,000",NaN
154,20.09.2015,מאירוביץ 44,3925-184-2,קוטג' חד משפחתי,1,--------,27,"2,053,000",NaN
155,07.09.2015,אוסישקין 12,3928-287-2,דירה בבית קומות,1,קרקע,26.26,"729,000",NaN
156,15.07.2015,יחזקאל הנביא 10,4247-189-1,קוטג' דו משפחתי,1,ראשונה,100,"1,140,000",NaN
157,11.06.2015,בלפור 8,3931-4-2,קוטג' דו משפחתי,1,ראשונה,100,"500,000",NaN
158,21.05.2015,הרקפת 120,4243-211-5,קוטג' דו משפחתי,1,ראשונה,308,"2,400,000",NaN
159,13.05.2015,אלרואי 8,3929-789-1,דירה בבית קומות,1,ראשונה,NaN,"200,000",NaN
160,14.04.2015,הירמוך 12,3923-279-34,דירה בבית קומות,1,ראשונה,29.10,"250,000",190% ב 6.4 שנים
