,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
161,30.11.2008,הירמוך 12,3923-279-34,דירה בבית קומות,1,ראשונה,29.10,"86,000",190% ב 6.4 שנים
162,26.03.2015,האלה 11,4242-565-0,קוטג' דו משפחתי,1,ראשונה,1097,"3,120,000",NaN
163,11.03.2015,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"2,090,000",30% ב 6.2 שנים
164,04.12.2008,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,600,000",30% ב 6.2 שנים
165,11.12.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,100,000",30% ב 6.2 שנים
166,14.11.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,289,000",30% ב 6.2 שנים
167,26.09.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,315,000",30% ב 6.2 שנים
168,22.09.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,237,000",30% ב 6.2 שנים
169,22.09.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,066,000",30% ב 6.2 שנים
170,01.02.2015,הכרמל 9,3936-149-7,דירה בבית קומות,1,חצר,NaN,"470,000",17% ב 0.5 שנים
171,18.08.2014,הכרמל 9,3936-149-7,דירה בבית קומות,1,חצר,NaN,"400,000",17% ב 0.5 שנים
172,29.04.2013,הכרמל 9,3936-149-7,דירה בבית קומות,1,חצר,NaN,"335,000",17% ב 0.5 שנים
173,15.12.2014,ירושלים 70,3930-549-4,דירה בבית קומות,1,שניה,101.40,"1,515,000",NaN
174,28.11.2014,העסיס 32,5038-9-32,דירה בבית קומות,1,שלישית,96,"1,650,000",NaN
175,13.11.2014,התומר 2,3926-48-5,דירה בבית קומות,1,שניה,71.81,"1,000,000",NaN
176,06.11.2014,צייטלין 17,7282-80-20,דירה בבית קומות,1,שניה,NaN,"90,000",NaN
177,05.11.2014,נורדאו 85,3925-675-1,קוטג' דו משפחתי,1,מרתף קרקע וראשונה,192.12,"2,725,000",NaN
178,05.11.2014,גלילי ישראל 19,3946-412-129,דירה בבית קומות,1,קומה ‎17‏,172,"5,342,000",NaN
179,02.09.2014,שבטי ישראל 39,4247-68-2,קוטג' דו משפחתי,1,ראשונה,34.50,"1,900,000",NaN
180,21.08.2014,האשכולית 9,3628-54-2,בית בודד,1,NaN,100,"755,000",NaN
181,25.02.2014,"עגנון ש""י 32",6095-159-4,דירה בבית קומות,1,ראשונה,48.63,"720,000",231% ב 6.6 שנים
182,10.06.2007,"עגנון ש""י 32",6095-159-4,דירה בבית קומות,1,ראשונה,48.63,"217,000",231% ב 6.6 שנים
183,30.12.2013,האתרוג 25,4243-295-3,דירה בבית קומות,1,NaN,209,"1,300,000",NaN
184,26.11.2013,יונה הנביא 3,4247-314-1,קוטג' דו משפחתי,1,NaN,205,"4,700,000",NaN
185,25.11.2013,הזמורה 4,5039-37-33,דירה בבית קומות,1,קרקע,27,"300,000",NaN
186,05.11.2013,הנחליאלי 16,6287-253-1,קוטג' חד משפחתי,1,NaN,172,"2,560,000",NaN
187,22.10.2013,סחרוב דוד 17,6097-213-62,דירה,1,NaN,NaN,"123,900",NaN
188,13.10.2013,האתרוג 25,4243-295-2,קוטג' דו משפחתי,1,NaN,209,"2,166,000",NaN
189,08.10.2013, ,3932-72-13,קוטג' דו משפחתי,1,NaN,374,"5,600,000",NaN
190,03.10.2013,מבצע עובדה 25,5747-77-3,קוטג' דו משפחתי,1,NaN,306,"3,200,000",NaN
191,21.08.2013,הרצל 91,3925-561-35,עסק,1,NaN,37,"401,200",NaN
192,18.08.2013,הסנפיר 2,6823-42-3,קוטג' דו משפחתי,1,NaN,150,"2,260,000",NaN
193,23.06.2013,הרצל 91,3925-561-33,עסק,1,NaN,42,"2,124,000",NaN
194,09.05.2013,NaN,3946-261-150,דירה בבית קומות,1,ראשונה,57,"211,000",NaN
195,04.05.2013,ביאליק 13,3928-882-114,עסק,1,NaN,155,"2,400,000",NaN
196,07.04.2013,"תרמ""ב 13",3928-884-158,אחר,1,עשירית,67,"1,351,350",NaN
197,19.03.2013,טביב 9,3938-261-1,קוטג' טורי,1,NaN,148,"3,750,000",NaN
198,27.02.2013,NaN,3946-261-152,דירה בבית קומות,1,ראשונה,NaN,"2,073,000",NaN
199,26.02.2013,השייטת 2,2704-55-543,אחר,1,חמש עשרה,NaN,"245,485",NaN
200,13.02.2013,NaN,3946-258-536,דירה בבית קומות,1,ראשונה,NaN,"62,000",NaN
201,21.01.2013,הרפסודה 40,6826-43-1,קוטג' דו משפחתי,1,NaN,140,"6,181,000",NaN
202,14.01.2013,NaN,3628-75-2,קוטג' חד משפחתי,1,NaN,300,"7,860,000",NaN
203,26.12.2012,אורנבך אשר 5,7375-27-15,דירה בבית קומות,1,רביעית,141,"797,000",NaN
204,12.12.2012,פינשטיין יונה צבי 17,6288-108-52,דירה בבית קומות,1,שביעית,104.31,"1,610,000",-10% ב 2.5 שנים
205,03.06.2010,פינשטיין יונה צבי 17,6288-108-52,דירה בבית קומות,1,שביעית,104.31,"1,800,000",-10% ב 2.5 שנים
206,15.10.2012,התורן 5,6824-65-1,קוטג' דו משפחתי,1,NaN,220,"4,450,000",NaN
207,06.09.2012,בלבן אליעזר 1,3939-489-84,דירה בבית קומות,1,ראשונה,381,"6,467,000",NaN
208,28.06.2012,NaN,3946-258-623,דירה בבית קומות,1,NaN,NaN,"966,000",NaN
209,15.05.2012,NaN,3928-82-1,דירה,1,NaN,70,"1,450,000",NaN
210,13.05.2012,הסירה 9,6826-64-1,קוטג' דו משפחתי,1,NaN,240,"2,650,000",NaN
211,10.05.2012,קצרין 15,5435-164-1,קוטג' דו משפחתי,1,ראשונה,292,"5,000,000",NaN
212,29.02.2012,דוידזון 1,3939-290-16,דירה בבית קומות,1,שישית,80,"5,517,000",NaN
213,13.12.2011,דוידזון 1,3939-290-16,דירה בבית קומות,1,שישית,80,"1,150,000",NaN
214,23.02.2012,NaN,6288-55-2,קוטג' חד משפחתי,1,NaN,60,"1,040,000",NaN
215,07.10.2011,מוהליבר 32,3933-36-5,דירה בבית קומות,1,ראשונה,37.65,"630,000",NaN
216,15.05.2011,התומר 3,3926-56-8,דירה בבית קומות,1,שלישית,66.14,"800,000",NaN
217,13.05.2011,בלבן אליעזר 1,3939-489-85,דירה בבית קומות,1,NaN,NaN,"26,555,000",NaN
218,12.05.2011,חטיבה שבע 55,5436-15-1,קוטג' דו משפחתי,1,NaN,288,"6,300,000",NaN
219,06.05.2011,קרון אהרון 13,3925-220-1,קומבינציה,1,ראשונה,107.93,"1,181,000",NaN
220,02.05.2011, ,3945-509-17,דירה בבית קומות,1,NaN,21,"304,000",NaN
221,17.04.2011,רפידים 49,5386-85-3,קוטג' טורי,1,קרקע וראשונה,165,"2,640,000",NaN
222,31.03.2011,הרב שלינקה יצחק 6,7373-73-61,דירה בבית קומות,1,NaN,NaN,"2,000,000",NaN
223,15.03.2011,הרב נריה 8,5116-25-47,דירה בבית קומות,1,שניה,121.71,"1,760,000",NaN
224,28.02.2011,גנות צבי 4,7373-59-8,דירה בבית קומות,1,שניה,112,"82,000",NaN
225,22.04.2009,גנות צבי 4,7373-59-8,דירה בבית קומות,1,שניה,112,"1,320,000",NaN
226,21.04.2009,גנות צבי 4,7373-59-8,דירה בבית קומות,1,שניה,112,"1,320,000",NaN
227,23.02.2011,NaN,6287-117-69,דירה בבית קומות,1,NaN,NaN,"1,500,000",NaN
228,20.02.2011,NaN,6287-117-70,דירה בבית קומות,1,NaN,NaN,"1,500,000",NaN
229,25.01.2011,NaN,6287-117-72,דירה בבית קומות,1,NaN,NaN,"2,500,000",NaN
230,23.01.2011,NaN,6287-117-74,דירה בבית קומות,1,NaN,NaN,"1,000,000",NaN
231,28.12.2010,NaN,6287-117-76,דירה בבית קומות,1,NaN,NaN,"1,500,000",NaN
232,23.12.2010,הקוקיה 23,6287-310-4,דירה בבית קומות,1,NaN,NaN,"2,000,000",NaN
233,21.12.2010,NaN,6287-117-80,דירה בבית קומות,1,NaN,NaN,"63,000",NaN
234,20.12.2010,NaN,6287-117-81,דירה בבית קומות,1,NaN,NaN,"1,666,000",NaN
235,14.12.2010,התאנה 1,3926-288-22,דירה בבית קומות,1,רביעית,88.70,"660,000",NaN
236,14.12.2010,NaN,6287-117-82,דירה בבית קומות,1,NaN,NaN,"1,160,000",NaN
237,13.12.2010,NaN,6287-117-83,דירה בבית קומות,1,NaN,NaN,"1,500,000",NaN
238,12.12.2010,NaN,6287-117-84,דירה בבית קומות,1,ראשונה,NaN,"1,750,000",NaN
239,10.11.2010,הרב מימון 4,3929-1083-46,דירה בבית קומות,1,שתים עשרה,152.20,"2,500,000",6% ב 1 שנים
240,14.10.2009,הרב מימון 4,3929-1083-46,דירה בבית קומות,1,שתים עשרה,152.20,"2,357,000",6% ב 1 שנים
241,03.11.2010,NaN,7373-53-1,דירה בבית קומות,1,NaN,NaN,"1,450,000",NaN
242,25.10.2010,"תרמ""ב 13",3928-884-21,דירה בבית קומות,1,קרקע,54.10,"2,500,000",NaN
243,24.10.2010,חטיבת קריתי 7,3930-270-1,קוטג' דו משפחתי,1,"מרתף,קרקע,ראשנה,שניה",139.50,"2,200,000",NaN
244,13.10.2010,NaN,6287-117-95,דירה בבית קומות,1,NaN,NaN,"1,700,000",NaN
245,09.06.2010,ההתיישבות 53,6286-324-7,דירה בבית קומות,1,שלישית,106.41,"2,160,000",89% ב 0.9 שנים
246,15.07.2009,ההתיישבות 53,6286-324-7,דירה בבית קומות,1,שלישית,106.41,"1,137,000",89% ב 0.9 שנים
247,05.05.2010,NaN,6287-117-102,דירה בבית קומות,1,NaN,NaN,"1,666,000",NaN
248,29.04.2010,"שז""ר זלמן 28",2717-20-26,דירה בבית קומות,1,ראשונה,NaN,"1,775,000",NaN
249,24.03.2010,ההתיישבות 53,6286-324-29,דירה בבית קומות,1,"שמינית, תשיעית",155.72,"1,680,000",3% ב 0.5 שנים
250,03.08.2009,ההתיישבות 53,6286-324-29,דירה בבית קומות,1,"שמינית, תשיעית",155.72,"1,622,000",3% ב 0.5 שנים
251,24.03.2010,ההתיישבות 53,6286-324-30,דירה בבית קומות,1,"שמינית, תשיעית",155.93,"1,740,000",7% ב 0.6 שנים
252,23.07.2009,ההתיישבות 53,6286-324-30,דירה בבית קומות,1,"שמינית, תשיעית",155.93,"1,622,000",7% ב 0.6 שנים
253,07.02.2010,נחמיה 97,4246-57-1,קוטג' דו משפחתי,1,ראשונה,25.11,"2,628,000",NaN
254,08.01.2010,יאיר 11,4241-36-1,דירה בבית קומות,1,ראשונה,NaN,"3,100,000",NaN
255,31.12.2009,האורגן 8,5182-5-49,דירה בבית קומות,1,שישית,142,"2,000,000",NaN
256,05.11.2009,שיבת ציון 32,3938-117-2,דירה בבית קומות,1,ראשונה,49.14,"1,638,000",NaN
257,28.10.2009,בלבן אליעזר 1,3939-489-5,עסק,1,NaN,34,"635,000",NaN
258,21.07.2009,דרבלה 22,4242-395-1,קוטג' דו משפחתי,1,NaN,NaN,"1,700,000",NaN
259,09.07.2009,מבצע נחשון 6,5384-50-13,דירה בבית קומות,1,שלישית,97.50,"1,210,000",NaN
260,22.06.2009,כצנלסון 60,3945-845-2,דירה בבית קומות,1,ראשונה,115.70,"1,680,000",NaN
261,15.05.2009,ארבל 11,3923-345-3,קוטג' דו משפחתי,1,מרתף קרקע וראשונה,437.63,"4,750,000",NaN
262,03.05.2009,אבן חן 2,4746-32-150,דירה בבית קומות,1,עשרים ואחת,199.44,"3,340,000",NaN
263,23.03.2009,NaN,6287-117-148,דירה בבית קומות,1,ראשונה,NaN,"60,000",NaN
264,26.02.2009,בורלא 28,5117-34-0,קוטג' דו משפחתי,1,NaN,600,"2,360,000",NaN
265,22.02.2009,NaN,6287-117-152,דירה בבית קומות,1,NaN,NaN,"80,000",NaN
266,21.12.2008,הרצל 91,3925-561-25,עסק,1,שניה,33,"311,850",NaN
267,03.11.2008,השרביט 5,5029-70-1,קוטג' חד משפחתי,1,NaN,576,"4,225,000",NaN
268,23.10.2008,פטריה 8,4243-208-2,קוטג' דו משפחתי,1,NaN,30,"465,000",NaN
269,03.08.2008,סטרומה 6,4243-186-1,דירה בבית קומות,1,ראשונה,22,"400,000",NaN
270,03.06.2008,NaN,3927-200-0,קוטג' דו משפחתי,1,NaN,600,"2,350,000",NaN
271,07.03.2008,הרקפת 86,4243-168-1,דירה בבית קומות,1,NaN,40,"563,000",NaN
272,16.01.2008,הרקפת 24,4242-141-2,דירה בבית קומות,1,---,39.46,"1,170,000",NaN
273,14.01.2008,עצמונה 1,5386-53-1,דירה בבית קומות,1,מרתף + קרקע + א'+ב',229,"1,812,000",NaN
274,12.11.2007,משה בן נחמן 20,4247-564-58,דירה בבית קומות,1,רביעית,113.34,"1,030,000",NaN
275,29.08.2007,המלך 21,5029-85-1,קוטג' דו משפחתי,1,NaN,280,"2,600,000",NaN
276,04.07.2007,הרקפת 17,4242-65-1,בית בודד,1,ראשונה,27.38,"573,000",NaN
277,23.01.2007,מאפו 10,3945-255-2,דירה בבית קומות,1,קרקע,41.52,"93,000",NaN
278,27.04.2006,קלישר 9,5116-56-4,דירה בבית קומות,1,ראשונה,100,"994,000",NaN
279,27.12.2005,החשמונאים 14,4241-185-1,קוטג' דו משפחתי,1,NaN,NaN,"460,000",NaN
280,25.07.2005,חיל התותחנים 26,2717-23-49,דירה בבית קומות,1,עשירית + אחת עשרה,134.30,"1,917,000",NaN
281,14.07.2005,יוחנן הסנדלר 8,3929-937-3,דירה בבית קומות,1,ראשונה,66.60,"652,000",NaN
282,21.06.2005,חיל התותחנים 26,2717-23-7,דירה בבית קומות,1,שניה,121.40,"1,283,000",NaN
283,16.05.2005,חיל החימוש 38,2717-22-50,דירה בבית קומות,1,קרקע,NaN,"105,000",NaN
284,20.07.2004,חיל התותחנים 24,2717-24-47,דירה בבית קומות,1,עשירית,136.30,"2,000,000",NaN
285,03.06.2004,שרת משה 8,5032-22-1,דירה בבית קומות,1,חמישית,96,"862,000",NaN
286,14.01.2004,ויניק 37,3926-1029-7,NaN,1,רביעית,110.72,"964,000",NaN
287,22.09.2003,מונטיפיורי 2,3928-356-2,NaN,1,קרקע,20.18,"204,000",NaN
288,11.03.2001,NaN,6287-117-247,NaN,1,רביעית,100,"759,000",NaN
289,07.02.2001,פינברג יוסף 3,3929-242-8,NaN,1,שניה,34.48,"248,000",NaN
290,08.12.2000,נתנס דניאל 1,5095-13-3,קוטג' דו משפחתי,1,NaN,NaN,"1,206,000",NaN
291,07.12.2000,ורמוס הרולד 4,5095-3-2,קוטג' דו משפחתי,1,קרקע + ראשונה,204.30,"1,509,000",NaN
292,24.11.2000,נתנס דניאל 8,5095-10-4,קוטג' דו משפחתי,1,NaN,NaN,"1,186,000",NaN
293,27.08.2000,פוחצ'בסקי מיכל 31,3925-653-3,NaN,1,NaN,245,"14,706,000",NaN
294,16.07.2000,מורדי הגטאות 101,4243-163-2,דירה בבית קומות,1,קרקע,27.70,"400,000",NaN
295,12.04.2000,"תרמ""ב 30",3928-233-1,NaN,1,קרקע,NaN,"250,000",NaN
296,22.04.1998,ברנר 9,3945-114-2,NaN,1,מרתף+קרקע+ 1+2,268.50,"1,727,000",NaN
297,22.04.1998,מורדי הגטאות 101,4243-163-3,NaN,1,NaN,NaN,"676,000",NaN
298,23.02.1998,הרקפת 102,4243-190-1,NaN,1,NaN,40,"486,000",NaN
299,09.02.1998,הכשרת הישוב 5,3946-105-1,NaN,1,ראשונה,183,"624,000",NaN
